Операция «Ы» и другие приключения Шурика	Молодой темнокожий парижанин по имени Дрисс (Омар Си, премия «Сезар»), привезённый в детстве дядей и тётей из Сенегала, который только что отбыл тюремный срок за ограбление, приходит, выполняя требования службы занятости, на собеседование к мультимиллионеру Филиппу (Франсуа Клюзе), чудом выжившему в результате падения на параплане и остающемуся парализованным уже несколько лет. Никто не ожидал, что ему будет предложено место, а тем более — что эксцентричный и искренний соискатель согласится на испытательный срок. Тем не менее между Дриссом и Филиппом быстро устанавливается настоящая дружба.	Thu, 19 Jan 2023 07:17:30 GMT	horror	2014	5.9	http://www.world-art.ru/large/cinema/flv/kgke49eode6om6bmf1no.mp4,http://www.world-art.ru/large/cinema/flv/o98pdio2fd4cg7ipak7c.mp4,http://www.world-art.ru/large/cinema/flv/nipl23d9beec6ng3434c.mp4,http://www.world-art.ru/large/cinema/flv/ed2co21cceb2idfii548.mp4	http://www.world-art.ru/large/cinema/flv/kgke49eode6om6bmf1no.mp4,http://www.world-art.ru/large/cinema/flv/kpk1cknfdi4gbc72b7le.mp4	Shimura Takashi,Chiaki Minoru,Katou Daisuke,Kimura Isao,Shimazaki Yukiko,Hidari Bokuzen	Hidari Bokuzen	147	5	Fujiwara Kamatar	ec@xmail.com	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-kjvh-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ljz4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-pbgbb-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-ql8jo-optimize_a.jpg	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-7jie-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ljz4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-fef1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-qqppa-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-aa7nd-optimize_a.jpg		blue
Форрест Гамп	Молодой темнокожий парижанин по имени Дрисс (Омар Си, премия «Сезар»), привезённый в детстве дядей и тётей из Сенегала, который только что отбыл тюремный срок за ограбление, приходит, выполняя требования службы занятости, на собеседование к мультимиллионеру Филиппу (Франсуа Клюзе), чудом выжившему в результате падения на параплане и остающемуся парализованным уже несколько лет. Никто не ожидал, что ему будет предложено место, а тем более — что эксцентричный и искренний соискатель согласится на испытательный срок. Тем не менее между Дриссом и Филиппом быстро устанавливается настоящая дружба.	Thu, 19 Jan 2023 07:17:30 GMT	crime	2019	3.7	http://www.world-art.ru/large/cinema/flv/kgke49eode6om6bmf1no.mp4,http://www.world-art.ru/large/cinema/flv/kiakkl4kad7b8ic7ll83.mp4,http://www.world-art.ru/large/cinema/flv/a1pfd99em7kaie59ide6.mp4,http://www.world-art.ru/large/cinema/flv/ed2co21cceb2idfii548.mp4	http://www.world-art.ru/large/cinema/flv/o98pdio2fd4cg7ipak7c.mp4,http://www.world-art.ru/large/cinema/flv/nipl23d9beec6ng3434c.mp4,http://www.world-art.ru/large/cinema/flv/ed2co21cceb2idfii548.mp4	Mifune Toshirou,Inaba Yoshio ,Chiaki Minoru,Katou Daisuke,Koudou Kuninori	Miyaguchi Seiji	134	11	Fujiwara Kamatar	muuug@xmail.com	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-7jie-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-qqppa-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-hoz74-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-eifxj-optimize_a.jpg	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-7jie-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-n8vj-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-t2xu-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-8wugq-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-qqppa-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-pbgbb-optimize_a.jpg	http://www.world-art.ru/cinema/img/10000/4277/z6bu.jpg	blue
Зелёная миля	Фильм по мотивам украинской сказки о том, как старый дворовый пес подружился с волком, и о том, что за добро всегда воздается добром.	Thu, 19 Jan 2023 07:17:30 GMT	family	2019	7.9	http://www.world-art.ru/large/cinema/flv/o98pdio2fd4cg7ipak7c.mp4	http://www.world-art.ru/large/cinema/flv/o98pdio2fd4cg7ipak7c.mp4	Mifune Toshirou,Inaba Yoshio ,Miyaguchi Seiji,Chiaki Minoru,Tsushima Keiko,Koudou Kuninori,Touno Eijirou	Miyaguchi Seiji	109	19	Kimura Isao	vfdv55@xmail.com	http://www.world-art.ru/cinema/img/converted_images_40000/optimize_a/36896-ahgo-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-t2xu-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-8wugq-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-qqppa-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-hoz74-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-pbgbb-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-eifxj-optimize_a.jpg	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-kjvh-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ljz4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-8wugq-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-pbgbb-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-ourq2-optimize_a.jpg	http://www.world-art.ru/cinema/img/10000/4277/855f.jpg	green
Игра престолов	1981-й год, провинциальный городок Саванна, штат Джорджия. Форрест Гамп (Том Хэнкс, премия «Оскар»), сидя на скамейке, коротает время, рассказывая людям, так же, как и он, ждущим нужного автобуса, о своей удивительной судьбе. Когда-то из-за низкого коэффициента интеллекта Форреста не желали, невзирая на просьбы мамы (Салли Филд), даже принимать в школу — но со временем парень стал знаменитостью родного Гринбоу. Гамп успел побывать лучшим игроком футбольной команды Университета Алабамы, совершить подвиги на вьетнамской войне, сказочно разбогатеть на ловле креветок и стать невольным организатором уникального многолетнего марафона. И через всю жизнь Форрест пронёс любовь к прекрасной Дженни (Робин Райт)…	Thu, 19 Jan 2023 07:17:30 GMT	romance	2016	6.1	http://www.world-art.ru/large/cinema/flv/kgke49eode6om6bmf1no.mp4,http://www.world-art.ru/large/cinema/flv/kpk1cknfdi4gbc72b7le.mp4,http://www.world-art.ru/large/cinema/flv/kiakkl4kad7b8ic7ll83.mp4		Hidari Bokuzen,Tsuchiya Yoshio	Tsushima Keiko	99	15	Tsuchiya Yoshio	vfyfn@xmail.com	http://www.world-art.ru/cinema/img/converted_images_40000/optimize_a/36896-ahgo-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-7jie-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-t2xu-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-kjvh-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ljz4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-8wugq-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-qqppa-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-pbgbb-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-aa7nd-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-eifxj-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-ourq2-optimize_a.jpg	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ljz4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-mogx-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-8wugq-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-hoz74-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-pbgbb-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-ql8jo-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-aa7nd-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-eifxj-optimize_a.jpg	http://www.world-art.ru/cinema/img/10000/4277/855f.jpg,http://www.world-art.ru/cinema/img/10000/5397/uz5k.jpg	black
Рик и Морти	Доктор Джон Ватсон (Виталий Соломин), служивший в Восточной Индии и недавно демобилизовавшийся, узнаёт от знакомого о возможности снять квартиру в Лондоне по адресу Бейкер-стрит, 221-б. Его устраивают и цена, и условия, выставленные хозяйкой — благообразной миссис Хадсон (Рина Зелёная). Однако чем дальше, тем больше вопросов вызывает второй жилец. Шерлока Холмса (Василий Ливанов) навещают сомнительные посетители, он демонстрирует глубокие познания лишь в специфических областях науки и абсолютно равнодушен ко всему прочему, да и вообще — ведёт себя крайне подозрительно. Неужели доктору Ватсону «посчастливилось» поселиться вместе с мозгом столичного преступного мира?	Thu, 19 Jan 2023 07:17:30 GMT	drama	2009	2.3	http://www.world-art.ru/large/cinema/flv/kpk1cknfdi4gbc72b7le.mp4,http://www.world-art.ru/large/cinema/flv/a1pfd99em7kaie59ide6.mp4		Shimura Takashi,Mifune Toshirou,Inaba Yoshio ,Kimura Isao,Shimazaki Yukiko,Tsuchiya Yoshio,Koudou Kuninori,Touno Eijirou	Tsushima Keiko	134	25	Hidari Bokuzen	sdc@xmail.com	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-fef1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-pbgbb-optimize_a.jpg	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-74m1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-7jie-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-n8vj-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ylr4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-fef1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-qqppa-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-eifxj-optimize_a.jpg	http://www.world-art.ru/cinema/img/10000/4277/vv4i.jpg,http://www.world-art.ru/cinema/img/10000/4277/855f.jpg	white
Форрест Гамп	Случайно познакомившихся в больнице, Мартина Брешта (Тиль Швайгер) и Руди Вурлицера (Ян Йозеф Лиферс) сплотила общая беда: жить им, по словам врачей, осталось считанные дни. Поддавшись мгновенному импульсу, Мартин и Руди решают во что бы то ни стало увидеть перед смертью море, о котором в раю только и говорят. Проблема лишь в том, что автомобиль, позаимствованный приятелями, принадлежит гангстеру Куртицу (Рутгер Хауэр) – и в погоню за дуэтом отправляются хладнокровные убийцы, бельгиец Хенк (Тьерри Ван Вервеке) и араб Абдул (Мориц Бляйбтрой).	Thu, 19 Jan 2023 07:17:30 GMT	horror	2006	0.2	http://www.world-art.ru/large/cinema/flv/kpk1cknfdi4gbc72b7le.mp4,http://www.world-art.ru/large/cinema/flv/a1pfd99em7kaie59ide6.mp4,http://www.world-art.ru/large/cinema/flv/nipl23d9beec6ng3434c.mp4	http://www.world-art.ru/large/cinema/flv/kpk1cknfdi4gbc72b7le.mp4,http://www.world-art.ru/large/cinema/flv/o98pdio2fd4cg7ipak7c.mp4,http://www.world-art.ru/large/cinema/flv/kiakkl4kad7b8ic7ll83.mp4,http://www.world-art.ru/large/cinema/flv/a1pfd99em7kaie59ide6.mp4,http://www.world-art.ru/large/cinema/flv/nipl23d9beec6ng3434c.mp4	Chiaki Minoru,Katou Daisuke,Tsushima Keiko,Shimazaki Yukiko	Chiaki Minoru	128	29	Koudou Kuninori	ec@xmail.com	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-7jie-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-t2xu-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ylr4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-mogx-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-hoz74-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-ql8jo-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-aa7nd-optimize_a.jpg	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-74m1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ljz4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-fef1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-8wugq-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-qqppa-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-aa7nd-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-eifxj-optimize_a.jpg	http://www.world-art.ru/cinema/img/10000/4111/u4zm.jpg,http://www.world-art.ru/cinema/img/10000/4111/nygs.jpg,http://www.world-art.ru/cinema/img/10000/4277/z6bu.jpg	yellow
Во все тяжкие	Доктор Грегори Хаус (Хью Лори) не отличается проникновенностью в общении с больными и с удовольствием избегает их, если только есть возможность. Он сам всё время проводит в борьбе с собственной болью, а трость в его руке только подчеркивает его жесткую ядовитую манеру общения. Порой его поведение можно назвать почти бесчеловечным, и при этом он прекрасный врач, обладающий нетипичным умом и безупречным инстинктом, что снискало ему глубокое уважение. Будучи инфекционистом, он ещё и замечательный диагност, который любит разгадывать медицинские загадки, чтобы спасти кому-то жизнь. Доктор Хаус — мерзкая личность. Алкоголик и наркоман, он унимал свою мигрень ЛСД, а когда слезал с викодина чуть не угробил своего пациента. Кроме того у него аддикция к азартным играм и он пользуется услугами проституток. Он циник и грубиян. Позавтракать, разложив еду на коматозном больном, для него тоже не проблема. Но, есть одно но. Только он может поставить правильный диагноз пациенту, от которого отказались практически все врачи. Каждую неделю новая загадка… новое дело, которое по зубам только одной команде, которую возглавляет доктор Хаус.	Thu, 19 Jan 2023 07:17:30 GMT	drama	2020	0.5	http://www.world-art.ru/large/cinema/flv/nipl23d9beec6ng3434c.mp4	http://www.world-art.ru/large/cinema/flv/kiakkl4kad7b8ic7ll83.mp4	Inaba Yoshio ,Kimura Isao,Shimazaki Yukiko,Hidari Bokuzen,Tsuchiya Yoshio,Toyama Haruko	Koudou Kuninori	94	18	Fujiwara Kamatar	dfgr6hr@xmail.com	http://www.world-art.ru/cinema/img/converted_images_40000/optimize_a/36896-ahgo-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-74m1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-t2xu-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ylr4-optimize_a.jpg	http://www.world-art.ru/cinema/img/converted_images_40000/optimize_a/36896-ahgo-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-kjvh-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ljz4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ylr4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-fef1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-8wugq-optimize_a.jpg	http://www.world-art.ru/cinema/img/10000/4111/nygs.jpg,http://www.world-art.ru/cinema/img/10000/4277/z6bu.jpg	red
Для тебя во всем цвету	Обвиненный в страшном преступлении, Джон Коффи оказывается в блоке смертников тюрьмы «Холодная гора». Вновь прибывший обладал поразительным ростом и был пугающе спокоен, что, впрочем, никак не влияло на отношение к нему начальника блока Пола Эджкомба, привыкшего исполнять приговор. Гигант удивил всех позже, когда выяснилось, что он обладает невероятной магической силой...	Thu, 19 Jan 2023 07:17:30 GMT	horror	2004	2.5	http://www.world-art.ru/large/cinema/flv/a1pfd99em7kaie59ide6.mp4	http://www.world-art.ru/large/cinema/flv/kgke49eode6om6bmf1no.mp4,http://www.world-art.ru/large/cinema/flv/kiakkl4kad7b8ic7ll83.mp4,http://www.world-art.ru/large/cinema/flv/a1pfd99em7kaie59ide6.mp4	Mifune Toshirou,Chiaki Minoru,Kimura Isao,Toyama Haruko	Touno Eijirou	93	23	Fujiwara Kamatar	ccxc@xmail.com	http://www.world-art.ru/cinema/img/converted_images_40000/optimize_a/36896-ahgo-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-7jie-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-n8vj-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-t2xu-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-pbgbb-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-ql8jo-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-ourq2-optimize_a.jpg	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-7jie-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ljz4-optimize_a.jpg	http://www.world-art.ru/cinema/img/10000/4111/u4zm.jpg,http://www.world-art.ru/cinema/img/10000/5397/uz5k.jpg	green
Продвижение Нобуты	1981-й год, провинциальный городок Саванна, штат Джорджия. Форрест Гамп (Том Хэнкс, премия «Оскар»), сидя на скамейке, коротает время, рассказывая людям, так же, как и он, ждущим нужного автобуса, о своей удивительной судьбе. Когда-то из-за низкого коэффициента интеллекта Форреста не желали, невзирая на просьбы мамы (Салли Филд), даже принимать в школу — но со временем парень стал знаменитостью родного Гринбоу. Гамп успел побывать лучшим игроком футбольной команды Университета Алабамы, совершить подвиги на вьетнамской войне, сказочно разбогатеть на ловле креветок и стать невольным организатором уникального многолетнего марафона. И через всю жизнь Форрест пронёс любовь к прекрасной Дженни (Робин Райт)…	Thu, 19 Jan 2023 07:17:30 GMT	family	2017	8.9	http://www.world-art.ru/large/cinema/flv/kiakkl4kad7b8ic7ll83.mp4,http://www.world-art.ru/large/cinema/flv/a1pfd99em7kaie59ide6.mp4		Mifune Toshirou,Katou Daisuke,Hidari Bokuzen,Toyama Haruko	Katou Daisuke	113	6	Koudou Kuninori	vvvvr5@xmail.com	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-fef1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-8wugq-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-pbgbb-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-ourq2-optimize_a.jpg	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-74m1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-7jie-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-t2xu-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-kjvh-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-ql8jo-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-aa7nd-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-eifxj-optimize_a.jpg	http://www.world-art.ru/cinema/img/10000/4111/u4zm.jpg,http://www.world-art.ru/cinema/img/10000/4111/nygs.jpg,http://www.world-art.ru/cinema/img/10000/4277/vv4i.jpg,http://www.world-art.ru/cinema/img/10000/5397/uz5k.jpg	black
Продвижение Нобуты	Шоушенк - название тюрьмы. И если тебе нет еще 30-ти, а ты получаешь пожизненное, то приготовься к худшему: для тебя выхода из Шоушенка не будет! Актриса Рита Хэйворт - любимица всей Америки. Энди Дифрейну она тоже очень нравилась. Рита никогда не слышала о существовании Энди, однако жизнь Дифрейну, бывшему вице-президенту крупного банка, осужденному за убийство жены и ее любовника, Рита Хэйворт все-таки спасла.	Thu, 19 Jan 2023 07:17:30 GMT	horror	2013	2.7	http://www.world-art.ru/large/cinema/flv/kgke49eode6om6bmf1no.mp4	http://www.world-art.ru/large/cinema/flv/kgke49eode6om6bmf1no.mp4,http://www.world-art.ru/large/cinema/flv/a1pfd99em7kaie59ide6.mp4,http://www.world-art.ru/large/cinema/flv/nipl23d9beec6ng3434c.mp4	Mifune Toshirou,Tsushima Keiko	Mifune Toshirou	96	1	Tsushima Keiko	muuug@xmail.com	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-74m1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-hoz74-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-eifxj-optimize_a.jpg	http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-74m1-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-n8vj-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-kjvh-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-ylr4-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4110-mogx-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-8wugq-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-ql8jo-optimize_a.jpg,http://www.world-art.ru/cinema/img/converted_images_10000/optimize_a/4277-aa7nd-optimize_a.jpg	http://www.world-art.ru/cinema/img/10000/4111/u4zm.jpg,http://www.world-art.ru/cinema/img/10000/4277/z6bu.jpg,http://www.world-art.ru/cinema/img/10000/4277/855f.jpg	green
